id,exam,year,subject,topic,difficulty,question,recency,difficulty_score
37,SSC CGL,2025,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,1,1
38,SSC CGL,2025,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,1,1
39,RRB NTPC,2022,Quantitative Aptitude,Time and Work,Easy,A pipe fills a tank in 400 hours. Find the time to fill 5% of the tank.,4,1
40,SSC CHSL,2023,English,Vocabulary,Medium,Choose the correct meaning of the word.,3,2
41,SSC CGL,2024,Reasoning,Analogy,Medium,Book is related to Reading. Pen is related to?,2,2
42,IBPS PO,2022,General Awareness,Current Affairs,Medium,Who was recently appointed to the given post?,4,2
43,RRB NTPC,2024,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,2,1
44,SSC CHSL,2021,Reasoning,Series,Hard,Find the next term in the given number series.,5,3
45,SSC CHSL,2022,English,Vocabulary,Medium,Choose the correct meaning of the word.,4,2
46,IBPS PO,2025,Quantitative Aptitude,Time and Work,Medium,Find the efficiency ratio of two workers given their individual work rates.,1,2
47,SSC CGL,2021,Reasoning,Puzzle,Easy,Arrange the given items based on the clues provided.,5,1
48,SSC CHSL,2022,Reasoning,Syllogism,Medium,Determine whether the given statements follow logically.,4,2
49,SSC CHSL,2022,Quantitative Aptitude,Percentage,Easy,The population of a town grew by 15% in a year. Find the increase.,4,1
50,IBPS PO,2024,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,2,2
51,IBPS PO,2022,Reasoning,Coding Decoding,Easy,Find the next term using a coding pattern.,4,1
52,SSC CHSL,2024,Reasoning,Direction Sense,Medium,A person walks 100 km north and then 12 km east. Find the shortest distance to start.,2,2
53,RRB NTPC,2022,Reasoning,Blood Relation,Medium,Find the relationship between two persons based on the given statements.,4,2
54,IBPS PO,2025,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,1,2
55,IBPS PO,2021,Reasoning,Coding Decoding,Hard,Find the next term using a coding pattern.,5,3
56,SSC CHSL,2025,Quantitative Aptitude,Time and Work,Medium,A can complete a work in 600 days and B in 10 days. Find the time taken together.,1,2
57,SSC CHSL,2021,General Awareness,Indian Polity,Medium,Which article of the Constitution deals with the given provision?,5,2
58,SSC CHSL,2021,Quantitative Aptitude,Data Interpretation,Easy,Find the ratio of values shown in the given pie chart.,5,1
59,SSC CHSL,2022,Reasoning,Analogy,Medium,Book is related to Reading. Pen is related to?,4,2
60,RRB NTPC,2025,English,Reading Comprehension,Medium,Identify the main idea of the given passage.,1,2
61,SSC CGL,2021,English,Grammar,Medium,Fill in the blank with the correct form of the verb.,5,2
62,IBPS PO,2021,Reasoning,Series,Easy,Find the odd one out from the given series.,5,1
63,SSC CHSL,2021,Quantitative Aptitude,Data Interpretation,Hard,Find the ratio of values shown in the given pie chart.,5,3
64,RRB NTPC,2023,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,3,1
65,IBPS PO,2024,Reasoning,Syllogism,Medium,"Based on the two statements, find the valid conclusion.",2,2
66,SSC CHSL,2021,Quantitative Aptitude,Data Interpretation,Medium,Find the ratio of values shown in the given pie chart.,5,2
67,SSC CHSL,2022,Reasoning,Analogy,Medium,Choose the word that best completes the analogy.,4,2
68,SSC CHSL,2024,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,2,2
69,SSC CHSL,2023,Reasoning,Analogy,Hard,Choose the word that best completes the analogy.,3,3
70,SSC CHSL,2025,General Awareness,History,Medium,Who founded the Maurya Empire?,1,2
71,SSC CHSL,2022,Reasoning,Series,Medium,Find the missing number in the series.,4,2
72,RRB NTPC,2024,Quantitative Aptitude,Data Interpretation,Easy,Find the ratio of values shown in the given pie chart.,2,1
73,IBPS PO,2021,Quantitative Aptitude,Data Interpretation,Medium,Find the average from the given data table.,5,2
74,IBPS PO,2021,English,Reading Comprehension,Easy,Read the passage and answer the question.,5,1
75,RRB NTPC,2021,Quantitative Aptitude,Profit and Loss,Hard,A shopkeeper marks an item 30% above cost price. Find the marked price.,5,3
76,RRB NTPC,2024,English,Grammar,Medium,Fill in the blank with the correct form of the verb.,2,2
77,SSC CGL,2025,Quantitative Aptitude,Time and Work,Easy,Find the efficiency ratio of two workers given their individual work rates.,1,1
78,RRB NTPC,2022,General Awareness,Indian Polity,Hard,Which article of the Constitution deals with the given provision?,4,3
79,SSC CGL,2025,General Awareness,Current Affairs,Hard,Which event is currently in the news?,1,3
80,SSC CGL,2023,English,Grammar,Hard,Choose the grammatically correct sentence.,3,3
81,IBPS PO,2024,General Awareness,Geography,Medium,Which river is the longest in India?,2,2
82,IBPS PO,2021,General Awareness,Current Affairs,Medium,Which event is currently in the news?,5,2
83,RRB NTPC,2025,General Awareness,Indian Polity,Easy,Who is known as the chief architect of the Indian Constitution?,1,1
84,IBPS PO,2024,Reasoning,Puzzle,Medium,Solve the seating arrangement puzzle based on given conditions.,2,2
85,SSC CGL,2023,Reasoning,Direction Sense,Medium,A person walks 100 km north and then 36 km east. Find the shortest distance to start.,3,2
86,RRB NTPC,2023,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,3,2
87,SSC CGL,2022,General Awareness,Science,Hard,Which gas is essential for respiration?,4,3
88,SSC CGL,2023,English,Reading Comprehension,Hard,Read the passage and answer the question.,3,3
89,SSC CGL,2022,Reasoning,Series,Medium,Find the odd one out from the given series.,4,2
90,SSC CGL,2023,English,Vocabulary,Medium,Choose the synonym of the given word.,3,2
91,SSC CHSL,2024,English,Reading Comprehension,Easy,Identify the main idea of the given passage.,2,1
92,SSC CHSL,2025,English,Reading Comprehension,Hard,Read the passage and answer the question.,1,3
93,RRB NTPC,2021,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,5,1
94,SSC CGL,2025,Reasoning,Coding Decoding,Medium,Decode the given word using the same logic as the example.,1,2
95,SSC CHSL,2022,English,Reading Comprehension,Easy,Read the passage and answer the question.,4,1
96,SSC CHSL,2021,Quantitative Aptitude,Time and Work,Medium,A can complete a work in 600 days and B in 20 days. Find the time taken together.,5,2
97,SSC CGL,2025,English,Vocabulary,Medium,Choose the correct meaning of the word.,1,2
98,SSC CGL,2023,Quantitative Aptitude,Simple Interest,Easy,Find the simple interest on 150 at 30% per annum for 36 years.,3,1
99,SSC CGL,2024,Quantitative Aptitude,Time and Work,Hard,A pipe fills a tank in 150 hours. Find the time to fill 10% of the tank.,2,3
100,IBPS PO,2023,English,Vocabulary,Easy,Choose the synonym of the given word.,3,1
101,RRB NTPC,2023,General Awareness,Science,Easy,Identify the SI unit of the given physical quantity.,3,1
102,RRB NTPC,2021,Quantitative Aptitude,Time and Work,Medium,A can complete a work in 400 days and B in 30 days. Find the time taken together.,5,2
103,RRB NTPC,2021,Reasoning,Syllogism,Hard,Determine whether the given statements follow logically.,5,3
104,SSC CHSL,2024,English,Reading Comprehension,Hard,Identify the main idea of the given passage.,2,3
105,RRB NTPC,2021,General Awareness,Static GK,Medium,Identify the national symbol described in the question.,5,2
106,SSC CHSL,2021,General Awareness,Geography,Medium,Which state has the highest geographical area?,5,2
107,RRB NTPC,2023,English,Vocabulary,Medium,Choose the antonym of the given word.,3,2
108,SSC CGL,2024,Quantitative Aptitude,Time and Work,Medium,A pipe fills a tank in 150 hours. Find the time to fill 10% of the tank.,2,2
109,IBPS PO,2021,General Awareness,Science,Medium,Identify the SI unit of the given physical quantity.,5,2
110,IBPS PO,2022,English,Reading Comprehension,Easy,Read the passage and answer the question.,4,1
111,SSC CHSL,2021,Quantitative Aptitude,Percentage,Medium,A number is increased by 12%. Find the new value.,5,2
112,RRB NTPC,2024,English,Sentence Improvement,Hard,Improve the underlined part of the given sentence.,2,3
113,SSC CGL,2022,Reasoning,Puzzle,Medium,Arrange the given items based on the clues provided.,4,2
114,RRB NTPC,2025,General Awareness,Science,Medium,Identify the SI unit of the given physical quantity.,1,2
115,SSC CGL,2023,Quantitative Aptitude,Profit and Loss,Easy,Find the selling price if cost price is 150 and profit is 12%.,3,1
116,SSC CGL,2025,English,Sentence Improvement,Hard,Improve the underlined part of the given sentence.,1,3
117,SSC CGL,2023,Reasoning,Series,Easy,Find the odd one out from the given series.,3,1
118,RRB NTPC,2025,Reasoning,Analogy,Hard,Book is related to Reading. Pen is related to?,1,3
119,SSC CGL,2023,Quantitative Aptitude,Time and Work,Hard,A pipe fills a tank in 200 hours. Find the time to fill 5% of the tank.,3,3
120,SSC CHSL,2024,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,2,2
121,RRB NTPC,2023,General Awareness,Static GK,Medium,Identify the national symbol described in the question.,3,2
122,SSC CGL,2025,Reasoning,Puzzle,Easy,Arrange the given items based on the clues provided.,1,1
123,SSC CHSL,2023,Quantitative Aptitude,Algebra,Easy,Find the roots of the equation x^2 - 400x + 30 = 0.,3,1
124,RRB NTPC,2024,Reasoning,Series,Easy,Find the missing number in the series.,2,1
125,RRB NTPC,2022,English,Vocabulary,Easy,Choose the correct meaning of the word.,4,1
126,SSC CHSL,2023,Reasoning,Series,Easy,Find the missing number in the series.,3,1
127,IBPS PO,2025,English,Reading Comprehension,Hard,Read the passage and answer the question.,1,3
128,SSC CGL,2022,English,Reading Comprehension,Medium,Read the passage and answer the question.,4,2
129,IBPS PO,2023,Quantitative Aptitude,Time and Work,Easy,A pipe fills a tank in 600 hours. Find the time to fill 20% of the tank.,3,1
130,SSC CGL,2025,General Awareness,Static GK,Medium,Identify the national symbol described in the question.,1,2
131,SSC CHSL,2023,Reasoning,Analogy,Hard,Choose the word that best completes the analogy.,3,3
132,SSC CHSL,2023,English,Reading Comprehension,Medium,Read the passage and answer the question.,3,2
133,IBPS PO,2024,English,Reading Comprehension,Medium,Identify the main idea of the given passage.,2,2
134,SSC CGL,2024,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,2,2
135,SSC CHSL,2024,Quantitative Aptitude,Algebra,Hard,"If x + y = 100 and x - y = 24, find the value of x.",2,3
136,RRB NTPC,2023,Reasoning,Coding Decoding,Hard,"If CAT is coded as DBU, how is DOG coded?",3,3
137,RRB NTPC,2021,General Awareness,History,Easy,Who founded the Maurya Empire?,5,1
138,IBPS PO,2025,Quantitative Aptitude,Simple Interest,Medium,Find the simple interest on 150 at 15% per annum for 36 years.,1,2
139,IBPS PO,2024,English,Grammar,Medium,Fill in the blank with the correct form of the verb.,2,2
140,RRB NTPC,2021,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,5,1
141,IBPS PO,2025,Reasoning,Puzzle,Medium,Arrange the given items based on the clues provided.,1,2
142,RRB NTPC,2021,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,5,1
143,SSC CGL,2021,General Awareness,Geography,Easy,Which state has the highest geographical area?,5,1
144,RRB NTPC,2025,General Awareness,Geography,Medium,Which state has the highest geographical area?,1,2
145,SSC CHSL,2024,Quantitative Aptitude,Simple Interest,Hard,Find the simple interest on 200 at 15% per annum for 18 years.,2,3
146,SSC CGL,2022,Quantitative Aptitude,Percentage,Medium,A number is increased by 50%. Find the new value.,4,2
147,SSC CHSL,2021,English,Grammar,Easy,Identify the error in the sentence.,5,1
148,IBPS PO,2024,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,2,2
149,SSC CHSL,2022,Reasoning,Series,Medium,Find the odd one out from the given series.,4,2
150,IBPS PO,2021,Quantitative Aptitude,Geometry,Easy,Find the perimeter of a rectangle with length 300 cm and breadth 30 cm.,5,1
151,IBPS PO,2023,Reasoning,Blood Relation,Medium,A is the son of B. B is the daughter of C. How is A related to C?,3,2
152,IBPS PO,2023,Quantitative Aptitude,Percentage,Hard,The population of a town grew by 20% in a year. Find the increase.,3,3
153,RRB NTPC,2023,General Awareness,History,Hard,Who founded the Maurya Empire?,3,3
154,SSC CGL,2021,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,5,1
155,RRB NTPC,2022,General Awareness,Indian Polity,Hard,Who is known as the chief architect of the Indian Constitution?,4,3
156,SSC CHSL,2023,Quantitative Aptitude,Algebra,Easy,Solve the given algebraic equation for x.,3,1
157,SSC CGL,2024,Quantitative Aptitude,Simple Interest,Medium,Find the principal amount given simple interest of 300 at 15% rate.,2,2
158,SSC CHSL,2025,General Awareness,Current Affairs,Medium,Which event is currently in the news?,1,2
159,IBPS PO,2025,Quantitative Aptitude,Algebra,Hard,Solve the given algebraic equation for x.,1,3
160,SSC CHSL,2021,General Awareness,History,Easy,Identify the event associated with the given year.,5,1
161,RRB NTPC,2024,Reasoning,Blood Relation,Medium,Find the relationship between two persons based on the given statements.,2,2
162,IBPS PO,2025,Quantitative Aptitude,Profit and Loss,Medium,A trader allows a discount of 20%. Find the new selling price.,1,2
163,IBPS PO,2024,General Awareness,Science,Medium,Which gas is essential for respiration?,2,2
164,SSC CGL,2025,Reasoning,Blood Relation,Easy,Find the relationship between two persons based on the given statements.,1,1
165,RRB NTPC,2024,General Awareness,History,Easy,Identify the event associated with the given year.,2,1
166,RRB NTPC,2024,General Awareness,Science,Easy,Identify the SI unit of the given physical quantity.,2,1
167,SSC CGL,2024,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,2,2
168,IBPS PO,2025,General Awareness,History,Easy,Identify the event associated with the given year.,1,1
169,SSC CGL,2021,Quantitative Aptitude,Data Interpretation,Easy,Find the average from the given data table.,5,1
170,IBPS PO,2023,English,Grammar,Medium,Fill in the blank with the correct form of the verb.,3,2
171,RRB NTPC,2025,General Awareness,Current Affairs,Medium,Who was recently appointed to the given post?,1,2
172,SSC CHSL,2024,English,Reading Comprehension,Medium,Identify the main idea of the given passage.,2,2
173,RRB NTPC,2021,General Awareness,Indian Polity,Easy,Which article of the Constitution deals with the given provision?,5,1
174,SSC CHSL,2021,English,Grammar,Hard,Choose the grammatically correct sentence.,5,3
175,SSC CGL,2023,Quantitative Aptitude,Profit and Loss,Medium,An article bought for 100 is sold for 12. Find the profit or loss percentage.,3,2
176,RRB NTPC,2025,General Awareness,Science,Easy,Which gas is essential for respiration?,1,1
177,RRB NTPC,2022,Quantitative Aptitude,Algebra,Medium,Solve the given algebraic equation for x.,4,2
178,SSC CHSL,2025,Quantitative Aptitude,Simple Interest,Medium,Find the principal amount given simple interest of 100 at 50% rate.,1,2
179,SSC CHSL,2021,Quantitative Aptitude,Algebra,Medium,Simplify the given quadratic expression.,5,2
180,SSC CGL,2022,Quantitative Aptitude,Algebra,Medium,Find the roots of the equation x^2 - 400x + 8 = 0.,4,2
181,RRB NTPC,2021,English,Reading Comprehension,Medium,Identify the main idea of the given passage.,5,2
182,SSC CHSL,2024,Quantitative Aptitude,Time and Work,Hard,A pipe fills a tank in 100 hours. Find the time to fill 30% of the tank.,2,3
183,SSC CGL,2024,General Awareness,Geography,Hard,Which river is the longest in India?,2,3
184,IBPS PO,2021,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,5,1
185,SSC CGL,2022,Quantitative Aptitude,Profit and Loss,Medium,A shopkeeper marks an item 25% above cost price. Find the marked price.,4,2
186,IBPS PO,2024,Reasoning,Analogy,Medium,Choose the word that best completes the analogy.,2,2
187,IBPS PO,2024,English,Grammar,Easy,Fill in the blank with the correct form of the verb.,2,1
188,IBPS PO,2023,English,Vocabulary,Medium,Choose the correct meaning of the word.,3,2
189,SSC CHSL,2022,English,Reading Comprehension,Easy,Read the passage and answer the question.,4,1
190,SSC CGL,2023,General Awareness,Indian Polity,Easy,Which article of the Constitution deals with the given provision?,3,1
191,SSC CHSL,2024,Quantitative Aptitude,Simple Interest,Medium,Find the simple interest on 500 at 50% per annum for 10 years.,2,2
192,IBPS PO,2022,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,4,2
193,RRB NTPC,2024,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,2,2
194,RRB NTPC,2024,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,2,2
195,RRB NTPC,2023,Quantitative Aptitude,Algebra,Hard,Find the roots of the equation x^2 - 250x + 18 = 0.,3,3
196,RRB NTPC,2025,Reasoning,Analogy,Medium,Book is related to Reading. Pen is related to?,1,2
197,RRB NTPC,2025,English,Vocabulary,Hard,Choose the synonym of the given word.,1,3
198,IBPS PO,2021,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,5,2
199,SSC CGL,2022,Reasoning,Blood Relation,Medium,A is the son of B. B is the daughter of C. How is A related to C?,4,2
200,RRB NTPC,2024,Reasoning,Series,Hard,Find the missing number in the series.,2,3
201,SSC CGL,2021,Quantitative Aptitude,Algebra,Easy,Solve the given algebraic equation for x.,5,1
202,SSC CGL,2022,General Awareness,Current Affairs,Medium,Which event is currently in the news?,4,2
203,SSC CGL,2025,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,1,2
204,SSC CGL,2025,General Awareness,Science,Medium,Identify the SI unit of the given physical quantity.,1,2
205,IBPS PO,2025,Reasoning,Blood Relation,Easy,A is the son of B. B is the daughter of C. How is A related to C?,1,1
206,RRB NTPC,2023,Quantitative Aptitude,Algebra,Medium,Simplify the given quadratic expression.,3,2
207,SSC CGL,2024,General Awareness,Current Affairs,Medium,Who was recently appointed to the given post?,2,2
208,SSC CHSL,2025,Quantitative Aptitude,Data Interpretation,Medium,Analyse the bar graph and find the percentage change.,1,2
209,IBPS PO,2025,Quantitative Aptitude,Data Interpretation,Hard,Analyse the bar graph and find the percentage change.,1,3
210,SSC CHSL,2021,Reasoning,Puzzle,Medium,Solve the seating arrangement puzzle based on given conditions.,5,2
211,RRB NTPC,2023,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,3,2
212,SSC CGL,2024,Quantitative Aptitude,Algebra,Easy,Find the roots of the equation x^2 - 100x + 8 = 0.,2,1
213,SSC CGL,2022,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,4,1
214,SSC CHSL,2023,General Awareness,Science,Medium,Which gas is essential for respiration?,3,2
215,SSC CHSL,2025,English,Grammar,Medium,Fill in the blank with the correct form of the verb.,1,2
216,IBPS PO,2025,Quantitative Aptitude,Time and Work,Easy,Find the efficiency ratio of two workers given their individual work rates.,1,1
217,IBPS PO,2022,Quantitative Aptitude,Algebra,Medium,Simplify the given quadratic expression.,4,2
218,SSC CGL,2025,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,1,1
219,RRB NTPC,2024,English,Grammar,Medium,Choose the grammatically correct sentence.,2,2
220,SSC CGL,2024,General Awareness,Science,Medium,Identify the SI unit of the given physical quantity.,2,2
221,SSC CHSL,2023,Reasoning,Blood Relation,Medium,Find the relationship between two persons based on the given statements.,3,2
222,SSC CGL,2023,English,Reading Comprehension,Hard,Read the passage and answer the question.,3,3
223,SSC CGL,2022,Reasoning,Syllogism,Hard,"Based on the two statements, find the valid conclusion.",4,3
224,SSC CHSL,2024,Quantitative Aptitude,Data Interpretation,Hard,Find the ratio of values shown in the given pie chart.,2,3
225,IBPS PO,2024,Quantitative Aptitude,Profit and Loss,Medium,A trader allows a discount of 30%. Find the new selling price.,2,2
226,IBPS PO,2022,General Awareness,Current Affairs,Medium,Who was recently appointed to the given post?,4,2
227,IBPS PO,2021,General Awareness,Science,Medium,Which gas is essential for respiration?,5,2
228,SSC CHSL,2021,General Awareness,Current Affairs,Easy,Who was recently appointed to the given post?,5,1
229,IBPS PO,2023,Quantitative Aptitude,Data Interpretation,Medium,Find the average from the given data table.,3,2
230,SSC CGL,2024,Reasoning,Direction Sense,Easy,A person walks 600 km north and then 10 km east. Find the shortest distance to start.,2,1
231,SSC CHSL,2022,English,Vocabulary,Easy,Choose the correct meaning of the word.,4,1
232,SSC CGL,2025,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,1,1
233,SSC CHSL,2022,Quantitative Aptitude,Time and Work,Easy,Find the efficiency ratio of two workers given their individual work rates.,4,1
234,RRB NTPC,2022,Reasoning,Coding Decoding,Hard,Find the next term using a coding pattern.,4,3
235,IBPS PO,2024,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,2,2
236,IBPS PO,2025,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,1,1
237,SSC CGL,2023,General Awareness,Indian Polity,Easy,Who is known as the chief architect of the Indian Constitution?,3,1
238,SSC CHSL,2023,Reasoning,Puzzle,Easy,Arrange the given items based on the clues provided.,3,1
239,SSC CHSL,2023,Reasoning,Blood Relation,Medium,A is the son of B. B is the daughter of C. How is A related to C?,3,2
240,SSC CHSL,2024,General Awareness,Geography,Easy,Which state has the highest geographical area?,2,1
241,IBPS PO,2022,Reasoning,Coding Decoding,Easy,Decode the given word using the same logic as the example.,4,1
242,SSC CHSL,2022,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,4,2
243,RRB NTPC,2024,Quantitative Aptitude,Algebra,Medium,Solve the given algebraic equation for x.,2,2
244,RRB NTPC,2024,General Awareness,History,Hard,Who founded the Maurya Empire?,2,3
245,SSC CHSL,2024,Reasoning,Series,Hard,Find the missing number in the series.,2,3
246,RRB NTPC,2022,General Awareness,Current Affairs,Medium,Who was recently appointed to the given post?,4,2
247,SSC CGL,2023,General Awareness,Geography,Medium,Which state has the highest geographical area?,3,2
248,SSC CGL,2024,Quantitative Aptitude,Percentage,Easy,A student scored 10% marks in an exam. Find the marks obtained out of 100.,2,1
249,IBPS PO,2025,Reasoning,Analogy,Easy,Choose the word that best completes the analogy.,1,1
250,SSC CGL,2021,English,Vocabulary,Medium,Choose the synonym of the given word.,5,2
251,IBPS PO,2024,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,2,1
252,RRB NTPC,2021,English,Grammar,Medium,Choose the grammatically correct sentence.,5,2
253,SSC CGL,2023,General Awareness,Indian Polity,Easy,Who is known as the chief architect of the Indian Constitution?,3,1
254,IBPS PO,2022,Reasoning,Puzzle,Medium,Solve the seating arrangement puzzle based on given conditions.,4,2
255,IBPS PO,2024,General Awareness,Indian Polity,Hard,Which article of the Constitution deals with the given provision?,2,3
256,RRB NTPC,2023,General Awareness,Geography,Medium,Which river is the longest in India?,3,2
257,SSC CGL,2021,Reasoning,Syllogism,Easy,Determine whether the given statements follow logically.,5,1
258,SSC CHSL,2024,Quantitative Aptitude,Time and Work,Medium,A can complete a work in 300 days and B in 36 days. Find the time taken together.,2,2
259,SSC CGL,2021,Quantitative Aptitude,Time and Work,Easy,Find the efficiency ratio of two workers given their individual work rates.,5,1
260,SSC CGL,2024,Quantitative Aptitude,Data Interpretation,Easy,Find the ratio of values shown in the given pie chart.,2,1
261,RRB NTPC,2022,Reasoning,Puzzle,Easy,Solve the seating arrangement puzzle based on given conditions.,4,1
262,RRB NTPC,2025,General Awareness,Static GK,Medium,Identify the national symbol described in the question.,1,2
263,SSC CGL,2022,General Awareness,Science,Medium,Which gas is essential for respiration?,4,2
264,SSC CGL,2021,Quantitative Aptitude,Simple Interest,Easy,Find the principal amount given simple interest of 300 at 5% rate.,5,1
265,SSC CHSL,2023,General Awareness,Geography,Easy,Which river is the longest in India?,3,1
266,SSC CGL,2024,Quantitative Aptitude,Profit and Loss,Easy,Find the selling price if cost price is 500 and profit is 15%.,2,1
267,SSC CGL,2022,General Awareness,History,Medium,Who founded the Maurya Empire?,4,2
268,SSC CGL,2024,General Awareness,Science,Hard,Identify the SI unit of the given physical quantity.,2,3
269,SSC CHSL,2022,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,4,1
270,RRB NTPC,2025,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,1,2
271,IBPS PO,2025,Quantitative Aptitude,Time and Work,Easy,Find the efficiency ratio of two workers given their individual work rates.,1,1
272,RRB NTPC,2023,English,Reading Comprehension,Hard,Identify the main idea of the given passage.,3,3
273,IBPS PO,2021,English,Reading Comprehension,Medium,Identify the main idea of the given passage.,5,2
274,SSC CHSL,2024,General Awareness,History,Medium,Identify the event associated with the given year.,2,2
275,RRB NTPC,2024,Quantitative Aptitude,Time and Work,Hard,Find the efficiency ratio of two workers given their individual work rates.,2,3
276,SSC CHSL,2022,General Awareness,Current Affairs,Medium,Who was recently appointed to the given post?,4,2
277,SSC CHSL,2023,General Awareness,History,Hard,Identify the event associated with the given year.,3,3
